Gender,State,City,Bank,Account_Type,Transaction_Type,Merchant_Category,Transaction_Device,Device_Type,Age,Transaction_Amount,Account_Balance,Is_Fraud
1,22,142,1,2,4,5,0,2,56,10540.66,50531.57,0
0,1,138,1,1,4,3,1,3,36,72885.43,99876.64,0
1,28,24,1,2,3,2,18,3,51,96174.77,27107.51,0
1,24,83,1,2,3,5,13,3,67,5664.2,49630.55,0
0,19,63,1,2,3,0,19,2,44,51736.71,65252.09,0
1,7,26,1,0,2,1,19,3,28,47596.71,48470.59,0
0,12,120,1,1,3,4,8,3,20,18396.42,26719.92,0
0,31,89,1,2,4,5,1,0,29,29023.31,68659.25,1
1,24,143,1,0,4,5,1,3,45,29946.58,45604.38,0
0,17,15,1,0,3,5,18,0,20,70148.48,84834.29,0
1,23,118,1,2,1,3,19,0,25,26009.2,90884.34,0
0,19,63,1,2,0,2,2,1,68,27014.24,59016.55,0
1,15,127,1,2,4,0,1,3,42,50348.23,92688.92,0
1,31,89,1,0,0,5,14,2,67,96583.09,66308.68,0
1,0,31,1,2,1,3,4,2,68,65576.76,5084.88,0
1,29,103,1,2,2,0,7,1,26,61809.12,23113.87,0
0,2,126,1,0,1,2,11,1,66,38032.65,59813.88,0
0,9,106,1,1,2,3,14,2,56,12547.65,81824.55,0
1,17,134,1,1,2,5,0,2,48,50956.74,65731.96,0
1,12,84,1,0,4,4,0,2,19,78994.66,48428.61,0
0,23,116,1,0,0,2,10,0,54,21615.84,51235.21,0
1,10,113,1,1,1,0,2,0,25,98172.61,20055.02,0
1,32,98,1,1,2,1,0,3,30,67820.16,36737.38,0
1,25,21,1,1,0,4,10,1,58,33501.4,21325.29,1
0,9,87,1,1,2,1,9,3,24,62790.31,68876.29,0
1,19,23,1,1,1,3,18,2,25,36749.3,8369.08,0
0,31,65,1,0,2,3,1,1,47,70474.88,20495.04,0
1,7,26,1,0,4,0,13,2,61,40194.49,77474.43,0
0,3,61,1,2,3,4,7,3,30,66487.45,40023.0,0
1,5,21,1,2,2,4,12,3,42,62448.0,93089.18,0
1,16,68,1,0,2,0,14,2,38,9742.42,71957.99,0
1,33,73,1,0,2,5,2,3,23,30332.82,95735.72,1
1,6,55,1,1,4,3,1,0,64,75539.61,54305.56,0
1,15,127,1,2,1,0,3,3,41,48516.32,94487.29,0
0,28,131,1,1,4,5,1,1,26,80471.68,46598.87,0
0,2,53,1,1,2,4,5,0,36,51797.26,87314.16,0
0,12,64,1,0,3,2,0,0,29,1640.76,95492.08,0
1,12,84,1,1,4,1,13,0,61,87308.51,16942.53,0
1,17,134,1,0,3,3,10,2,25,73275.19,87481.94,1
0,32,27,1,1,2,4,11,0,27,51550.28,23732.11,0
0,3,42,1,2,4,0,0,0,41,93211.17,15264.37,0
0,25,57,1,1,1,3,7,0,22,67218.91,41457.84,0
0,8,105,1,0,0,2,19,1,19,97234.25,22814.5,0
1,22,32,1,0,2,3,7,3,49,77043.47,89089.31,0
1,32,45,1,2,4,0,13,2,24,27950.09,39381.19,0
1,16,68,1,2,2,1,12,3,56,44546.21,25708.31,0
1,27,86,1,1,2,2,9,2,25,40906.97,79960.67,0
1,32,27,1,2,4,0,13,2,25,67767.34,78683.58,0
0,16,68,1,2,2,2,9,3,23,80506.71,97976.4,0
1,10,113,1,0,2,2,11,0,67,63269.89,79383.39,0
0,6,74,1,0,3,3,9,1,60,77433.61,50304.68,0
0,25,107,1,1,4,1,13,3,39,11510.44,33139.4,0
1,13,58,1,1,1,4,18,1,20,41882.36,84329.02,0
0,19,23,1,0,1,5,7,0,66,23855.83,89416.28,1
0,33,8,1,0,1,4,10,1,53,53726.87,64505.07,0
0,23,16,1,2,4,5,13,3,41,53857.91,29147.41,0
1,7,123,1,0,3,5,16,2,22,59814.57,6811.1,0
1,18,96,1,2,4,2,0,2,57,47965.25,46490.75,0
0,31,89,1,2,3,1,14,3,48,15175.62,57341.68,0
1,28,131,1,2,4,4,13,0,70,2627.75,25895.13,0
0,17,52,1,2,0,4,18,2,40,80449.49,8920.69,0
1,4,13,1,0,4,3,1,0,52,69450.4,73307.78,0
0,15,76,1,2,1,4,18,2,62,72710.69,93262.05,1
0,1,139,1,2,3,0,2,0,57,80607.21,47914.66,0
0,15,76,1,2,1,4,11,0,47,79070.15,37255.24,0
1,22,142,1,2,2,4,17,0,37,80042.73,93664.33,0
1,28,117,1,0,4,0,0,1,45,94530.42,73381.77,0
1,24,110,1,0,4,5,0,0,45,78320.84,39727.91,0
0,30,6,1,2,0,2,12,1,63,36545.4,15534.62,0
1,2,144,1,0,3,5,14,2,48,2910.51,5909.87,0
1,24,66,1,1,1,0,12,0,61,68469.89,27854.62,0
0,27,60,1,2,4,1,0,3,32,54849.14,48252.86,0
0,6,74,1,0,3,4,8,1,42,60965.59,21995.1,0
1,19,128,1,0,2,4,0,0,65,55886.33,92945.57,0
1,1,101,1,1,0,4,10,1,32,93539.19,39431.0,0
0,16,68,1,1,4,0,13,0,28,81644.55,65299.25,0
0,22,142,1,1,4,4,1,2,70,8456.14,33154.05,0
0,15,127,1,1,3,0,11,0,18,23768.19,74417.2,0
0,1,101,1,2,2,5,5,2,19,8827.25,48143.5,0
0,0,109,1,0,2,0,7,0,25,47969.0,20099.71,0
1,0,31,1,2,1,2,6,0,31,9841.65,36977.26,0
1,15,127,1,1,0,2,0,1,69,37979.9,58494.43,0
1,32,98,1,2,4,3,13,2,52,2369.14,97449.67,0
0,23,12,1,2,0,5,17,0,25,53099.36,78020.85,0
1,18,100,1,2,3,4,8,3,32,87385.52,68134.19,0
0,20,132,1,2,2,1,17,1,38,18188.97,56798.88,0
1,13,114,1,1,4,5,13,1,35,81626.12,6939.4,1
1,5,21,1,0,2,4,19,1,63,69785.08,8590.07,0
0,11,37,1,2,4,5,13,1,41,50203.23,67656.57,0
1,33,8,1,2,1,3,5,3,38,58861.13,31908.9,0
0,21,3,1,1,4,1,13,1,49,21365.9,59043.52,0
1,31,1,1,0,3,0,6,3,49,15881.92,47257.74,0
0,9,88,1,1,3,0,12,0,44,17069.32,53967.75,0
1,29,67,1,1,3,1,19,3,69,79661.52,99477.94,0
0,29,103,1,2,2,3,16,1,56,35107.0,63555.46,0
0,13,114,1,2,2,2,2,1,28,24038.28,8988.96,0
1,22,142,1,2,2,5,3,1,41,26837.77,89549.54,0
0,23,116,1,2,0,4,15,1,62,32030.96,59206.0,0
0,17,54,1,2,4,3,0,1,69,4194.76,54191.56,0
0,25,107,1,0,1,5,9,0,62,51796.55,34430.62,0
0,1,40,1,2,0,1,10,2,18,963.86,69124.35,0
1,21,72,1,2,1,2,5,1,60,33450.1,52919.26,0
0,0,109,1,0,0,2,4,1,42,72236.34,26147.16,0
1,20,104,1,0,2,0,19,2,41,91620.66,64276.59,0
0,17,15,1,1,3,0,10,2,44,77718.34,31609.04,1
1,16,68,1,1,2,4,10,3,52,10840.78,67848.49,0
1,19,128,1,2,4,2,1,0,34,88848.18,89756.77,0
1,3,95,1,0,1,2,11,1,65,98522.56,16731.89,0
1,12,84,1,0,2,0,16,1,57,64484.81,46013.35,0
1,31,136,1,1,3,2,0,3,57,82667.99,12575.45,0
0,30,0,1,1,4,4,13,1,66,22740.04,23825.72,0
